instance,N,energy,merit_factor,best-known,%_of_best,source,wall_time_s,hardware,solver
LABS-28,28,74,5.3,50,67.57,optimum,0.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-29,29,78,5.39,62,79.49,optimum,0.21,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-30,30,83,5.42,59,71.08,optimum,0.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-31,31,83,5.79,67,80.72,optimum,0.25,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-32,32,80,6.4,64,80.0,optimum,0.27,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-33,33,104,5.24,64,61.54,optimum,0.31,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-34,34,97,5.96,65,67.01,optimum,0.34,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-35,35,109,5.62,73,66.97,optimum,0.45,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-36,36,114,5.68,82,71.93,optimum,0.37,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-37,37,106,6.46,86,81.13,optimum,0.41,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-38,38,135,5.35,87,64.44,optimum,0.53,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-39,39,139,5.47,99,71.22,optimum,0.54,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-40,40,144,5.56,108,75.0,optimum,0.52,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-41,41,140,6.0,108,77.14,optimum,0.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-42,42,157,5.62,101,64.33,optimum,0.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-43,43,161,5.74,109,67.7,optimum,0.72,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-44,44,186,5.2,122,65.59,optimum,0.84,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-45,45,170,5.96,118,69.41,optimum,0.72,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-46,46,155,6.83,131,84.52,optimum,0.78,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-47,47,219,5.04,135,61.64,optimum,0.84,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-48,48,208,5.54,140,67.31,optimum,1.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-49,49,224,5.36,136,60.71,optimum,1.11,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-50,50,257,4.86,153,59.53,optimum,1.49,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-51,51,221,5.88,153,69.23,optimum,1.12,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-52,52,242,5.59,166,68.6,optimum,1.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-53,53,238,5.9,170,71.43,optimum,1.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-54,54,263,5.54,175,66.54,optimum,1.42,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-55,55,299,5.06,171,57.19,optimum,2.13,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-56,56,304,5.16,192,63.16,optimum,1.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-57,57,316,5.14,188,59.49,optimum,1.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-58,58,301,5.59,197,65.45,optimum,1.85,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-59,59,313,5.56,205,65.5,optimum,2.29,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-60,60,346,5.2,218,63.01,optimum,2.24,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-61,61,358,5.2,226,63.13,optimum,2.76,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-62,62,371,5.18,235,63.34,optimum,2.5,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-63,63,351,5.65,207,58.97,optimum,2.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-64,64,396,5.17,208,52.53,optimum,3.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-65,65,400,5.28,240,60.0,optimum,3.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-66,66,417,5.22,257,61.63,optimum,3.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-67,67,357,6.29,241,67.51,Knauer 2004,4.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-68,68,442,5.23,250,56.56,Knauer 2004,3.7,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-69,69,470,5.06,274,58.3,Knauer 2004,3.46,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-70,70,479,5.11,295,61.59,Knauer 2004,4.89,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-71,71,519,4.86,275,52.99,Knauer 2004,5.27,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-72,72,508,5.1,300,59.06,Knauer 2004,5.68,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-73,73,544,4.9,308,56.62,Knauer 2004,6.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-74,74,565,4.85,341,60.35,Knauer 2004,6.35,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-75,75,569,4.94,329,57.82,Knauer 2004,6.43,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-76,76,586,4.93,334,57.0,Knauer 2004,6.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-77,77,646,4.59,358,55.42,Knauer 2004,6.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-78,78,667,4.56,347,52.02,Knauer 2004,7.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-79,79,647,4.82,339,52.4,Knauer 2004,8.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-80,80,632,5.06,352,55.7,Knauer 2004,9.77,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-81,81,672,4.88,372,55.36,Knauer 2004,9.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-82,82,681,4.94,377,55.36,Knauer 2004,9.68,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-83,83,733,4.7,377,51.43,Knauer 2004,9.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-84,84,730,4.83,430,58.9,Knauer 2004,9.93,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-85,85,742,4.87,414,55.8,Knauer 2004,12.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-86,86,767,4.82,439,57.24,Knauer 2004,12.22,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-87,87,763,4.96,431,56.49,Knauer 2004,12.48,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-88,88,740,5.23,448,60.54,Knauer 2004,13.29,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-89,89,828,4.78,432,52.17,Knauer 2004,14.96,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-90,90,845,4.79,453,53.61,Knauer 2004,16.95,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-91,91,857,4.83,477,55.66,Knauer 2004,17.47,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-92,92,738,5.73,490,66.4,JPMorgan 2025,17.71,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-93,93,854,5.06,486,56.91,Knauer 2004,18.76,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-94,94,915,4.83,499,54.54,Knauer 2004,19.5,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-95,95,867,5.2,479,55.25,Knauer 2004,18.94,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-96,96,984,4.68,520,52.85,Knauer 2004,21.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-97,97,1000,4.7,536,53.6,Knauer 2004,21.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-98,98,897,5.35,529,58.97,JPMorgan 2025,24.49,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-99,99,985,4.98,553,56.14,JPMorgan 2025,21.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-100,100,1022,4.89,578,56.56,Knauer 2004,16.88,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
